Species.name,Nc_Buffalo_2021,Pantheria,IUCN,literature,literature source
Ailurus_fulgens,NA,NA,NA,2342939053,"Choudhury, A. (2001). An overview of the status and conservation of the red panda Ailurus fulgens in India, with reference to its global status. Oryx, 35(3), 250-259."
Arctocephalus_gazella,NA,NA,"850,000",,
Capra_hircus,57452229.41,NA,NA,,
Cavia_aperea,NA,11151353961,NA,,
Ceratotherium_simum_simum,NA,1496699.49,"10,080",,
Cervus_elaphus_yarkandensis,NA,41086431.5,NA,,
Cervus_nippon,NA,2035989.75,NA,,
Felis_catus,NA,NA,NA,2641342258,"Dauphiné, N. I. C. O., & Cooper, R. J. (2009, February). Impacts of free-ranging domestic cats (Felis catus) on birds in the United States: a review of recent research with conservation and management recommendations. In Proceedings of the fourth international partners in flight conference: tundra to tropics (Vol. 205)."
Giraffa_camelopardalis,NA,3433659.01,68293,,
Hippopotamus_amphibius,NA,8988030.54,NA,,
Homo_sapiens,269197271.1,NA,NA,,
Hylobates_lar,NA,2809301.88,NA,,
Mandrillus_leucophaeus,NA,NA,4000,,
Monodelphis_domestica,956488496,1083578400,NA,,
Moschus_berezovskii,NA,NA,NA,2727591048,"Zhang, Z., Wang, X., Su, Y., Hu, T., Duo, H., Yang, Y., ... & Liu, Z. (2024). Assessing population status and influencing factors of alpine musk deer in patchy habitats: Implications for conservation strategies. Global Ecology and Conservation, 54, e03134."
Mus_musculus,50017555188,NA,NA,,
Odobenus_rosmarus,NA,NA,112500,,
Orcinus_orca,NA,NA,NA,2372919875,https://www.fisheries.noaa.gov/national/marine-mammal-protection/marine-mammal-stock-assessment-reports-species-stock#cetaceans---small-whales
Pan_troglodytes,30348400.73,3095284.59,NA,,
Panthera_pardus,NA,2054402.07,NA,,
Panthera_tigris,NA,74849.8,NA,,
Pithecia_pithecia,NA,4348373.62,NA,,
Procavia_capensis,NA,65971017419,NA,,
Rangifer_tarandus,NA,46859983.38,2890400,,
Rousettus_aegyptiacus,NA,NA,NA,1910250568,"Fiorillo, G., Bocchini, P., & Buceta, J. (2018). A predictive spatial distribution framework for filovirus-infected bats. Scientific Reports, 8(1), 7970."
Saimiri_boliviensis_boliviensis,NA,48402779.6,NA,,
Sarcophilus_harrisii,NA,375050.96,NA,,
Sus_scrofa,43529123.07,91868993.29,NA,,
Tapirus_indicus,NA,87425.58,2499,,
Tupaia_belangeri,582759941.5,NA,NA,,
Vicugna_pacos,NA,NA,NA,2172207521,"Reyna, J. (2005). Alpaca breeding in Peru and perspectives for the future. N. Zealand Alpacas, 18(21)."
Vulpes_vulpes,NA,69337734.77,NA,,
Cyprinus_carpio,1158805893,,,,
Cynoglossus_semilaevis,17758061.35,,,,
Larimichthys_crocea,15101853.4,,,,
Paralichthys_olivaceus,1342749.453,,,,
Salmo_salar,94951593.81,,,,
Ara_glaucogularis,,,256,,
Bubo_scandiacus,,,21000,,
Coturnix_japonica,2214142621,,,,
Cyanistes_caeruleus,4051311716,,,,
Gallus_gallus,172032899.4,,,,
Gyps_fulvus,,,490000,,
Larus_argentatus,,,1140000,,
Pelecanus_crispus,,,12400,,
Pygoscelis_adeliae,,,10000000,,
Taeniopygia_guttata,251457601.6,,,,
Turdus_merula,,,255000000,,
